YearWeekISO,ReportingCountry,FirstDose,SecondDose,Population
2021-03-22,IS,16365,12241,364134
2021-03-22,IT,3333836,1476316,59641488
2021-03-22,LI,1490,812,38747
2021-03-22,LT,148009,78834,2794090
2021-03-22,LU,18723,5448,626108
2021-03-22,LV,43935,6334,1907675
2021-03-22,MT,45485,12063,514564
2021-03-22,NL,199411,98612,17407585
2021-03-22,NO,246198,19294,5367580
2021-03-22,PL,2675890,849884,37958138
2021-03-22,PT,779191,67936,10295909
2021-03-22,RO,390724,408344,19328838
2021-03-22,SE,380672,200821,10327589
2021-03-22,SI,91680,16286,2095861
2021-03-22,SK,227080,35478,5457873
2021-03-29,AT,287906,162806,8901064
2021-03-29,BE,566930,149867,11522440
2021-03-29,BG,111347,26472,6951482
2021-03-29,CY,16226,11698,888005
2021-03-29,CZ,220785,289378,10693939
2021-03-29,DE,2790442,1116095,83166711
2021-03-29,DK,170185,81960,5822763
2021-03-29,EE,64673,18637,1328976
2021-03-29,EL,355599,340507,10718565
2021-03-29,ES,2112334,543349,47332614
2021-03-29,FI,785208,8022,5525292
2021-03-29,FR,6134802,1825776,67320216
2021-03-29,HR,112073,27748,4058165
2021-03-29,HU,896968,440611,9769526
2021-03-29,IE,186077,106170,4964440
2021-03-29,IS,11244,8045,364134
2021-03-29,IT,3652383,1443465,59641488
2021-03-29,LI,990,1074,38747
2021-03-29,LT,194932,77577,2794090
2021-03-29,LU,30084,8327,626108
2021-03-29,LV,40113,6688,1907675
2021-03-29,MT,43687,15586,514564
2021-03-29,NL,341442,109543,17407585
2021-03-29,NO,192384,31159,5367580
2021-03-29,PL,2858234,329258,37958138
2021-03-29,PT,420207,257717,10295909
2021-03-29,RO,345973,456883,19328838
2021-03-29,SE,585204,200647,10327589
2021-03-29,SI,106615,12569,2095861
2021-03-29,SK,196265,14915,5457873
2021-04-05,AT,433548,277128,8901064
2021-04-05,BE,779955,124645,11522440
2021-04-05,BG,115149,27156,6951482
2021-04-05,CY,36935,10975,888005
2021-04-05,CZ,301290,310837,10693939
2021-04-05,DE,5417877,1107885,83166711
2021-04-05,DK,213634,86767,5822763
2021-04-05,EE,64935,13798,1328976
2021-04-05,EL,803951,231543,10718565
2021-04-05,ES,3576960,506309,47332614
2021-04-05,FI,992146,39116,5525292
2021-04-05,FR,6223956,2354216,67320216
2021-04-05,HR,111383,31272,4058165
2021-04-05,HU,1082444,601077,9769526
2021-04-05,IE,181096,87110,4964440
2021-04-05,IS,25207,7648,364134
2021-04-05,IT,4473644,1438905,59641488
2021-04-05,LI,502,1314,38747
2021-04-05,LT,288016,39033,2794090
2021-04-05,LU,29938,18924,626108
2021-04-05,LV,60239,3240,1907675
2021-04-05,MT,35472,23714,514564
2021-04-05,NL,514087,128998,17407585
2021-04-05,NO,349111,24902,5367580
2021-04-05,PL,4028346,129624,37958138
2021-04-05,PT,777032,164249,10295909
2021-04-05,RO,358453,440695,19328838
2021-04-05,SE,823203,305480,10327589
2021-04-05,SI,104441,5629,2095861
2021-04-05,SK,219592,51395,5457873
2021-04-12,AT,556162,196664,8901064
2021-04-12,BE,807030,189765,11522440
2021-04-12,BG,102250,32108,6951482
2021-04-12,CY,39231,11457,888005
2021-04-12,CZ,486204,306096,10693939
2021-04-12,DE,6433995,947413,83166711
2021-04-12,DK,379233,109138,5822763
2021-04-12,EE,57563,22863,1328976
2021-04-12,EL,873530,118797,10718565
2021-04-12,ES,3419971,630538,47332614
2021-04-12,FI,1223028,185178,5525292
2021-04-12,FR,7024850,3269978,67320216
2021-04-12,HR,158568,72756,4058165
2021-04-12,HU,726996,343727,9769526
2021-04-12,IE,223693,87228,4964440
2021-04-12,IS,22077,4474,364134
2021-04-12,IT,4994845,1632466,59641488
2021-04-12,LI,2790,168,38747
2021-04-12,LT,241314,60886,2794090
2021-04-12,LU,44071,23455,626108
2021-04-12,LV,66533,4482,1907675
2021-04-12,MT,35362,36620,514564
2021-04-12,NL,714996,91274,17407585
2021-04-12,NO,404580,10375,5367580
2021-04-12,PL,4072996,762838,37958138
2021-04-12,PT,1284515,167433,10295909
2021-04-12,RO,691012,392089,19328838
2021-04-12,SE,1221025,197034,10327589
2021-04-12,SI,68074,47707,2095861
2021-04-12,SK,193587,116362,5457873
2021-04-19,AT,587538,120722,8901064
2021-04-19,BE,802129,58947,11522440
2021-04-19,BG,100006,73303,6951482
2021-04-19,CY,57736,5019,888005
2021-04-19,CZ,559130,179286,10693939
2021-04-19,DE,6185750,885228,83166711
2021-04-19,DK,299777,146692,5822763
2021-04-19,EE,46661,30929,1328976
2021-04-19,EL,863243,147740,10718565
2021-04-19,ES,2766803,1045551,47332614
2021-04-19,FI,1140902,181728,5525292
2021-04-19,FR,6227294,3992812,67320216
2021-04-19,HR,146152,67250,4058165
2021-04-19,HU,668938,540005,9769526
2021-04-19,IE,294770,102310,4964440
2021-04-19,IS,22568,7583,364134
2021-04-19,IT,5237129,2186186,59641488
2021-04-19,LI,3798,1472,38747
2021-04-19,LT,198132,112419,2794090
2021-04-19,LU,24854,4753,626108
2021-04-19,LV,78640,23865,1907675
2021-04-19,MT,43156,34573,514564
2021-04-19,NL,534913,118206,17407585
2021-04-19,NO,321506,19444,5367580
2021-04-19,PL,4598756,1143706,37958138
2021-04-19,PT,640682,422437,10295909
2021-04-19,RO,830961,386345,19328838
2021-04-19,SE,1209687,114623,10327589
2021-04-19,SI,74829,59538,2095861
2021-04-19,SK,137719,165702,5457873
2021-04-26,AT,581028,138664,8901064
2021-04-26,BE,739787,175631,11522440
2021-04-26,BG,99344,106710,6951482
2021-04-26,CY,87496,18340,888005
2021-04-26,CZ,661260,124747,10693939
2021-04-26,DE,8001540,1410488,83166711
2021-04-26,DK,291318,188461,5822763
2021-04-26,EE,54920,53593,1328976
2021-04-26,EL,506422,390334,10718565
2021-04-26,ES,2754167,2142694,47332614
2021-04-26,FI,1169450,105328,5525292
2021-04-26,FR,7166296,3985430,67320216
2021-04-26,HR,172044,79720,4058165
2021-04-26,HU,924666,821688,9769526
2021-04-26,IE,329053,103430,4964440
2021-04-26,IS,58836,8160,364134
2021-04-26,IT,6075186,2879737,59641488
2021-04-26,LI,2148,982,38747
2021-04-26,LT,185110,179424,2794090
2021-04-26,LU,35514,6648,626108
2021-04-26,LV,92283,33287,1907675
2021-04-26,MT,47123,19740,514564
2021-04-26,NL,594158,92628,17407585
2021-04-26,NO,336134,128884,5367580
2021-04-26,PL,5095382,1615320,37958138
2021-04-26,PT,1049883,271155,10295909
2021-04-26,RO,626519,389322,19328838
2021-04-26,SE,1120220,81765,10327589
2021-04-26,SI,37038,82643,2095861
2021-04-26,SK,176769,160799,5457873
2021-05-03,AT,672790,236974,8901064
2021-05-03,BE,1004201,481516,11522440
2021-05-03,BG,75603,153795,6951482
2021-05-03,CY,101378,30578,888005
2021-05-03,CZ,852454,80096,10693939
2021-05-03,DE,7666439,2443252,83166711
2021-05-03,DK,280392,412575,5822763
2021-05-03,EE,66335,71431,1328976
2021-05-03,EL,855748,773803,10718565
2021-05-03,ES,3272181,2146483,47332614
2021-05-03,FI,1222646,233436,5525292
2021-05-03,FR,8137312,4905784,67320216
2021-05-03,HR,356131,124272,4058165
2021-05-03,HU,442277,836219,9769526
2021-05-03,IE,395077,117888,4964440
2021-05-03,IS,61617,29134,364134
2021-05-03,IT,6680733,3221806,59641488
2021-05-03,LI,2234,490,38747
2021-05-03,LT,265900,235872,2794090
2021-05-03,LU,52941,27675,626108
2021-05-03,LV,114598,56172,1907675
2021-05-03,MT,60806,17928,514564
2021-05-03,NL,569924,274031,17407585
2021-05-03,NO,216234,228485,5367580
2021-05-03,PL,5174960,2169512,37958138
2021-05-03,PT,1159931,628790,10295909
2021-05-03,RO,568728,772677,19328838
2021-05-03,SE,1027582,344708,10327589
2021-05-03,SI,117731,76730,2095861
2021-05-03,SK,240414,158399,5457873
2021-05-10,AT,643692,211730,8901064
2021-05-10,BE,645441,583912,11522440
2021-05-10,BG,112716,247983,6951482
2021-05-10,CY,116299,49712,888005
2021-05-10,CZ,913191,82452,10693939
2021-05-10,DE,6939465,3026245,83166711
2021-05-10,DK,320741,371609,5822763
2021-05-10,EE,54725,40789,1328976
2021-05-10,EL,982127,978318,10718565
2021-05-10,ES,3093041,1945753,47332614
2021-05-10,FI,977064,427964,5525292
