,ReportingCountry,YearWeekISO,first_dose_100k,second_dose_100k,cmltve_first_dose,cmltve_second_dose
167,BG,2021-11-08,1659.5166325684224,923.3139063008435,52215.49879579634,36527.54908953229
168,BG,2021-11-15,1311.6339796319694,1443.4332132342429,53527.132775428305,37970.98230276653
169,BG,2021-11-22,1130.6653746639925,1257.142002237796,54657.7981500923,39228.12430500433
170,BG,2021-11-29,920.1778843705558,977.6332586346338,55577.97603446285,40205.75756363896
171,BG,2021-12-06,673.8275377825909,772.6409994300496,56251.803572245444,40978.39856306901
172,BG,2021-12-13,630.0239287104537,676.2874448930459,56881.8275009559,41654.68600796205
173,BG,2021-12-20,505.0433849933007,457.62903507482287,57386.8708859492,42112.31504303688
174,BG,2021-12-27,306.8122739870433,314.9400372467339,57693.68315993625,42427.25508028361
175,BG,2022-01-03,687.0765111669713,480.40115762365485,58380.75967110322,42907.656237907264
176,BG,2022-01-10,694.5281596068291,330.43313641609086,59075.28783071005,43238.089374323354
177,BG,2022-01-17,486.29918052006747,185.61509617661383,59561.58701123011,43423.704470499964
178,BG,2022-01-24,280.83220239943074,345.9118501637492,59842.419213629546,43769.616320663714
179,BG,2022-01-31,213.14879330767167,407.4526841902201,60055.56800693722,44177.06900485393
180,BG,2022-02-07,173.6176544800087,331.6127409953734,60229.18566141723,44508.68174584931
181,BG,2022-02-14,130.53331649279968,202.28779992525335,60359.71897791003,44710.96954577456
182,BG,2022-02-21,92.08108429252927,145.04820698665407,60451.80006220256,44856.01775276122
183,BG,2022-02-28,14.500505072155836,27.663165926344917,60466.30056727472,44883.68091868756
184,CY,2020-12-28,123.8731763897726,0.0,123.8731763897726,0.0
185,CY,2021-01-04,867.1122347284081,0.0,990.9854111181808,0.0
186,CY,2021-01-11,1106.3000771392053,108.78317126592756,2097.285488257386,108.78317126592756
187,CY,2021-01-18,1144.9259857771071,776.3469800282655,3242.211474034493,885.1301512941931
188,CY,2021-01-25,1029.3860957990103,829.4998338973314,4271.597569833503,1714.6299851915246
189,CY,2021-02-01,802.5855710271902,1079.611038226136,5074.183140860693,2794.2410234176605
190,CY,2021-02-08,1548.3020928936212,1076.4579028271237,6622.485233754314,3870.698926244784
191,CY,2021-02-15,2219.8073209047243,1024.6563927004916,8842.292554659038,4895.355318945276
192,CY,2021-02-22,3719.0105911565806,859.2293962308771,12561.303145815618,5754.584715176153
193,CY,2021-03-01,3364.8459186603677,1395.7128619771286,15926.149064475987,7150.297577153281
194,CY,2021-03-08,4665.176434817372,931.0758385369452,20591.325499293358,8081.3734156902265
